tid,name,symbol,rating_level,rating_score,underlying_technology_security,token_performance,ecosystem_development,team_partners_investors,token_economics,roadmap_progress,tags
zilliqa,Zilliqa,ZIL,BBB,67.74,81.40%,52.53%,58.90%,77.67%,64.67%,69.67%,"Public Chain, Sharding, Layer 1"
aave,Aave,AAVE,BBB,67.71,82.10%,62.67%,49.35%,96.00%,37.47%,80.00%,"DeFi, Lending, Ethereum, DAO, Governance"
trust-wallet-token,Trust Wallet Token,TWT,BBB,67.53,84.75%,40.07%,62.80%,68.73%,82.00%,62.67%,"Wallet, DeFi, BNB Chain"
kucoin-token,KuCoin Token,KCS,BBB,67.49,63.00%,36.47%,69.10%,78.33%,79.00%,80.00%,"Exchange Token, Ethereum, KCC"
filecoin,Filecoin,FIL,BBB,67.49,61.25%,61.60%,49.45%,78.33%,75.07%,87.33%,"Public Chain, Storage, IPFS, Mining, Data"
makerdao,Maker,MKR,BBB,67.23,74.10%,63.20%,61.65%,94.67%,30.67%,78.67%,"DeFi, Ethereum, Governance, DAO, Lending"
flow,Flow,FLOW,BBB,67.1,75.75%,52.93%,57.30%,93.33%,56.00%,67.67%,"Public Chain, Game, NFT, Layer 1"
hedera-hashgraphhbar,Hedera,HBAR,BBB,67.05,65.10%,58.67%,51.15%,84.33%,65.67%,83.33%,"Payment, Marketplace, Layer 1, Infrastructure, NFT"
stacks,Stacks,STX,BBB,66.94,72.10%,56.27%,54.25%,85.00%,60.53%,76.00%,"Bitcoin, Public Chain, Stacks"
fantom,Fantom,FTM,BBB,66.72,69.00%,51.93%,57.90%,85.00%,64.67%,74.00%,"Public Chain, Fantom, Layer 1"
helium,Helium ,HNT,BBB,66.7,69.15%,50.47%,58.50%,88.33%,69.00%,66.67%,"Public Chain, IoT, Web3"
algorand,Algorand,ALGO,BBB,66.65,67.20%,52.40%,59.20%,83.67%,66.07%,73.67%,"Public Chain, Algorand, Layer 1, PoS, Infrastructure"
the-sandbox,The Sandbox,SAND,BBB,66.52,79.55%,61.07%,58.35%,74.00%,53.33%,71.20%,"Ethereum, NFT, Game, Metaverse"
the-graph,The Graph,GRT,BBB,66.34,77.30%,61.07%,60.60%,88.00%,45.67%,63.67%,"Data, DeFi, Web3, Ethereum"
ontology,Ontology,ONT,BBB,66.24,70.75%,51.60%,50.15%,79.33%,71.47%,78.00%,"Polkadot, Wallet, Public Chain, Layer 1"
dydx,dYdX,DYDX,BBB,66.04,82.90%,57.67%,31.30%,85.33%,54.67%,90.33%,"DeFi, Layer 2, Derivatives, Ethereum, dYdX, Governance"
lido-staked-ether,Lido Staked Ether,stETH,BBB,66.0,73.95%,54.00%,58.55%,84.00%,44.00%,81.33%,"Ethereum, DeFi, Liquid Staking Token, Staking"
kusama,Kusama,KSM,BBB,65.97,89.85%,51.53%,42.35%,74.67%,60.00%,77.33%,"Polkadot, Kusama, Public Chain, Cross-Chain"
tether,Tether,USDT,BBB,65.13,58.50%,84.53%,55.00%,64.33%,49.33%,84.67%,"Stablecoins, Tether"
axie-infinity,Axie Infinity Shards,AXS,BBB,65.06,61.70%,56.27%,62.20%,68.67%,60.07%,83.53%,"Ethereum, Game, NFT, Metaverse"
wrapped-bitcoinwbtc,Wrapped Bitcoin,WBTC,BBB,64.94,66.15%,62.93%,40.35%,66.67%,66.67%,94.67%,"Bitcoin, Wrapped Token, Ethereum, DeFi"
monero,Monero,XMR,BBB,64.94,61.95%,55.53%,37.35%,77.67%,89.33%,78.00%,"Privacy, Payment, Marketplace, Fork, Zero Knowledge Proofs"
vechain,Vechain,VET,BBB,64.93,60.95%,51.47%,48.90%,76.67%,78.60%,79.67%,"Public Chain, Traditional Industry, Layer 1, IoT"
harmony,Harmony,ONE,BBB,64.86,60.70%,47.47%,53.90%,82.67%,61.13%,88.33%,"Scaling, Sharding, Public Chain, Harmony, Cross-Chain"
chain,Chain,XCN,BBB,64.76,77.10%,50.20%,46.35%,81.00%,67.67%,68.27%,"Ethereum, Infrastructure, Cloud Computing, BNB Chain"
secret-network,Secret Network,SCRT,BBB,64.66,51.90%,48.20%,54.95%,86.67%,73.73%,80.00%,"Privacy, Cosmos, Layer 1"
arweave,Arweave,AR,BBB,64.63,80.80%,53.73%,40.80%,72.00%,64.67%,78.33%,"Storage, Solana, Public Chain"
ethereum-name-service,Ethereum Name Service,ENS,BBB,64.56,86.30%,60.80%,49.20%,61.20%,54.07%,73.67%,"Web3, Ethereum, Infrastructure"
the-open-networkton,Toncoin,TON,BBB,64.47,74.85%,63.53%,52.50%,78.67%,41.20%,76.60%,"Ethereum, Public Chain, Layer 1"
decentraland,Decentraland,MANA,BBB,64.43,89.75%,59.67%,56.00%,56.00%,53.87%,65.67%,"NFT, Game, Metaverse, Ethereum"
mina-protocol,Mina Protocol,MINA,BBB,64.29,58.95%,52.20%,43.95%,89.33%,70.53%,79.33%,"Public Chain, PoS, Zero Knowledge Proofs, Layer 1"
gmx,GMX,GMX,BBB,64.26,65.50%,51.87%,58.65%,41.33%,91.00%,78.67%,"Derivatives, DEX, Arbitrum, Avalanche, DeFi, Governance"
chia-network,Chia,XCH,BBB,64.11,83.05%,51.13%,42.65%,69.33%,62.00%,77.33%,"Public Chain, Mining, Layer 1"
polygon-ecosystem-token,Polygon Ecosystem Token,POL,BBB,64.08,53.65%,31.27%,72.60%,82.67%,71.60%,73.33%,Polygon
stellar,Stellar,XLM,BBB,64.02,79.55%,60.53%,47.65%,87.00%,50.67%,59.00%,"Stellar, Public Chain, Layer 1, Payment, DeFi"
enjin-coin,Enjin Coin,ENJ,BBB,63.83,73.10%,58.93%,50.20%,76.00%,49.20%,77.00%,"NFT, Ethereum, Metaverse, Infrastructure, Game"
balancer,Balancer,BAL,BBB,63.71,69.00%,57.53%,55.05%,68.67%,50.60%,82.53%,"AMM, DEX, DeFi, Ethereum, Governance, Base"
skale-network,SKALE Network,SKL,BBB,63.7,74.35%,50.87%,50.95%,75.00%,56.40%,75.33%,"Ethereum, PoS, Layer 2"
zcash,Zcash,ZEC,BBB,63.64,70.75%,61.00%,37.50%,78.67%,60.93%,79.33%,"Payment, Privacy, Zero Knowledge Proofs, PoW"
pendle,Pendle,PENDLE,BBB,63.49,76.95%,65.27%,52.45%,77.67%,50.80%,57.00%,"DeFi, Derivatives, Ethereum, Avalanche, Governance"
astar,Astar,ASTR,BBB,63.47,63.05%,49.07%,50.50%,79.87%,63.80%,79.00%,"Infrastructure, Layer 1, Cross-Chain"
optimism,Optimism,OP,BBB,63.41,59.75%,54.73%,38.80%,85.87%,70.73%,80.00%,"Optimism, Layer 2, Rollups, Scaling, Ethereum"
synthetix-network-token,Synthetix,SNX,BBB,63.32,72.50%,59.40%,30.30%,85.33%,43.33%,97.00%,"Synthetics, DeFi, Ethereum, Synthetix, Optimism, Governance"
audius,Audius,AUDIO,BBB,63.15,66.70%,56.00%,39.45%,90.67%,53.47%,79.33%,"NFT, Music, Ethereum"
celocelo,Celo,CELO,BBB,63.04,66.45%,60.47%,28.95%,88.67%,66.67%,77.27%,"DeFi, Layer 1, Public Chain, Celo, PoS"
usd-coin,USD Coin,USDC,BBB,63.01,61.50%,85.93%,33.50%,83.67%,49.13%,74.67%,"Stablecoins, Ethereum, DeFi"
usdd,Decentralized USD,USDD,BBB,62.82,63.80%,59.87%,52.70%,80.00%,67.60%,56.00%,"Tron, DeFi, Stablecoins, Decentralized Stablecoins"
immutable-x,Immutable X,IMX,BBB,62.76,71.90%,52.73%,51.35%,89.33%,56.00%,56.00%,"NFT, Layer 2, Immutable X, Ethereum, Game"
solana,Solana,SOL,BBB,62.53,59.50%,60.53%,54.50%,60.00%,65.00%,79.33%,"Layer 1, Solana, Public Chain"
injective-protocol,Injective,INJ,BBB,62.43,69.25%,60.13%,57.05%,64.53%,52.13%,71.00%,"DeFi, Cosmos, Layer 1"
trueusd,TrueUSD,TUSD,BBB,62.38,74.65%,79.27%,36.30%,80.40%,48.67%,59.60%,"Stablecoins, Ethereum, DeFi"
bittorrent,BitTorrent,BTT,BBB,62.31,58.95%,53.13%,48.50%,87.33%,57.00%,74.67%,"Tron, Data, Storage, Cross-Chain, Wallet"
safepal,SafePal,SFP,BBB,62.26,63.35%,50.07%,61.00%,51.33%,73.87%,74.00%,"Wallet, Launchpad, BNB Chain"
compound,Compound,COMP,BBB,62.21,70.40%,60.07%,51.20%,66.33%,53.20%,73.00%,"DeFi, Lending, Ethereum, Governance"
kava,Kava,KAVA,BBB,62.21,75.50%,46.40%,54.75%,62.00%,51.33%,81.33%,"Cosmos, Layer 1, Ethereum"
curve-finance,Curve Finance,CRV,BBB,62.2,69.70%,68.40%,47.30%,69.33%,44.27%,76.67%,"DEX, Curve, AMM, DeFi, Ethereum, Governance"
radix-protocol,Radix ,XRD,BBB,62.17,74.85%,36.07%,38.95%,62.67%,83.33%,80.67%,Layer 1
yearn-finance,yearn.finance,YFI,BBB,62.1,74.75%,59.07%,38.05%,61.33%,57.67%,85.53%,"DeFi, Ethereum, Governance"
wax,WAX,WAXP,BBB,62.01,69.45%,49.00%,58.40%,80.33%,50.67%,62.93%,"NFT, Game, Wallet, Public Chain, PoS"
cardano,Cardano,ADA,BBB,61.98,69.80%,60.33%,46.85%,51.33%,64.00%,82.00%,"Cardano, Public Chain, Layer 1, PoS"
crypto-com-coin,Cronos,CRO,BBB,61.92,67.75%,58.00%,60.70%,60.20%,41.33%,82.00%,"Exchange Token, Public Chain, Ethereum, Cosmos"
ankr,Ankr,ANKR,BB,61.66,63.60%,59.13%,58.15%,83.00%,46.93%,59.67%,"Web3, DeFi, Data, Infrastructure, Ethereum, Liquid Staking Derivatives (LSD)"
tezos,Tezos,XTZ,BB,61.6,73.85%,59.33%,47.90%,66.00%,80.00%,43.00%,"Public Chain, Layer 1, PoS, Web3"
elrond,MultiversX (Previously Elrond),EGLD,BB,61.49,47.80%,57.33%,33.80%,84.00%,76.47%,83.33%,"Public Chain, Layer 1, Sharding, PoS"
tron,TRON,TRX,BB,61.45,63.85%,57.53%,66.75%,63.67%,54.33%,60.00%,"Public Chain, Tron, Layer 1"
horizen,Horizen,ZEN,BB,61.34,69.30%,55.40%,40.85%,70.67%,61.33%,74.67%,"DeFi, Public Chain, Zero Knowledge Proofs, Privacy"
ocean-protocol,Ocean Protocol,OCEAN,BB,61.28,76.20%,52.33%,53.90%,55.67%,62.07%,65.00%,"Data, Polkadot, Marketplace, Ethereum, Polygon, AI"
fluxflux2,Flux,FLUX,BB,61.1,65.05%,54.60%,52.75%,57.67%,62.67%,75.33%,"Mining, Cloud Computing, Data, Storage, Ethereum"
theta-fuel,Theta Fuel ,TFUEL,BB,60.95,67.70%,36.87%,43.90%,72.00%,60.00%,88.67%,Public Chain
quickswap,QuickSwap,QUICK,BB,60.82,65.70%,53.80%,66.55%,47.00%,51.33%,77.00%,"DEX, AMM, DeFi, Polygon, Solana, Governance"
ergo,Ergo,ERG,BB,60.6,59.40%,34.67%,42.10%,60.00%,94.67%,79.33%,"PoW, Public Chain, Zero Knowledge Proofs, Cardano, Layer 1"
theta,Theta Network,THETA,BB,60.42,67.70%,48.67%,43.90%,72.00%,44.67%,88.67%,"DeFi, NFT, Web3, Entertainment"
pundi-xpundix,Pundi X,PUNDIX,BB,60.38,69.50%,45.80%,48.45%,71.33%,47.80%,80.33%,"Payment, Ethereum, Wallet, Public Chain"
neo,NEO,NEO,BB,60.37,72.85%,53.27%,42.05%,81.33%,56.00%,58.67%,"Public Chain, Neo, Layer 1"
thorchain,THORChain,RUNE,BB,60.34,62.55%,60.67%,47.25%,82.67%,68.53%,44.00%,"Cosmos, DEX, DeFi, Ethereum, BNB Chain, Governance"
nano,Nano,XNO,BB,60.34,68.00%,41.00%,45.95%,61.33%,81.00%,67.00%,"Payment, Public Chain"
qtum,Qtum,QTUM,BB,60.23,74.60%,54.33%,30.65%,78.67%,69.53%,58.67%,"Public Chain, Layer 1, PoS"
stargate-finance,Stargate Finance,STG,BB,60.09,76.65%,65.20%,38.05%,65.00%,80.13%,37.33%,"Ethereum, DeFi, Cross-Chain, Governance"
frax-share,Frax Share,FXS,BB,60.04,74.20%,62.67%,45.85%,78.40%,42.47%,56.67%,"DeFi, Ethereum, Liquid Staking Derivatives (LSD)"
basic-attention-token,Basic Attention Token,BAT,BB,60.0,80.25%,58.53%,23.10%,85.33%,43.33%,75.00%,"Payment, Ethereum, Avalanche, Solana, Traditional Industry"
aptos,Aptos,APT,BB,59.96,72.70%,52.87%,27.40%,68.67%,74.73%,70.00%,"Public Chain, PoS, Layer 1, Aptos"
icon,ICON,ICX,BB,59.87,67.00%,47.93%,38.90%,81.67%,45.33%,83.00%,"Public Chain, Cross-Chain, Infrastructure"
api3,API3,API3,BB,59.86,68.55%,47.40%,51.10%,64.67%,52.27%,75.20%,"Oracle, Data, Ethereum, Web3"
iota,IOTA,IOTA,BB,59.81,63.40%,50.47%,56.80%,70.67%,48.00%,69.33%,"IoT, Data, Layer 1"
nervos-network,Nervos Network,CKB,BB,59.71,63.40%,51.60%,39.00%,82.67%,62.27%,65.00%,"Public Chain, PoW"
loopring,Loopring,LRC,BB,59.66,69.30%,56.20%,42.65%,55.00%,49.93%,87.33%,"Zero Knowledge Proofs, Rollups, Layer 2, Ethereum"
eos,EOS,EOS,BB,59.65,60.70%,64.53%,22.90%,62.33%,77.33%,82.00%,"Public Chain, EOS, Layer 1"
livepeer,Livepeer,LPT,BB,59.31,70.95%,55.13%,43.75%,77.00%,49.67%,60.67%,"Web3, Data, Ethereum"
band-protocol,Band Protocol,BAND,BB,59.27,81.95%,56.20%,46.00%,64.00%,45.67%,58.67%,"Oracle, Ethereum, Infrastructure, Cosmos, Polkadot"
woo-network,WOO Network,WOO,BB,59.15,70.50%,58.40%,18.95%,91.67%,53.67%,71.33%,"DeFi, Exchange Token, Ethereum, Governance"
casper,Casper,CSPR,BB,59.14,69.15%,45.20%,41.15%,80.00%,53.33%,68.67%,"Public Chain, Layer 1"
sui,Sui,SUI,BB,59.09,66.15%,55.73%,45.85%,69.00%,60.87%,59.00%,"Layer 1, Infrastructure, Public Chain"
apecoinape2,ApeCoin,APE,BB,58.86,70.00%,54.00%,48.15%,72.33%,42.87%,65.67%,"NFT, Ethereum, Polygon, Metaverse"
gala,Gala,GALA,BB,58.69,46.00%,59.00%,51.95%,75.67%,52.67%,73.33%,"NFT, Game, Ethereum, Infrastructure"
gatetoken,GateToken,GT,BB,58.64,72.10%,38.73%,40.50%,68.00%,46.07%,88.00%,"Exchange Token, Ethereum, Public Chain"
iost,IOST,IOST,BB,58.62,64.05%,51.00%,34.80%,88.00%,52.00%,68.00%,"IoT, Public Chain"
klaytn,Klaytn,KLAY,BB,58.41,69.75%,47.27%,48.75%,64.33%,59.80%,60.00%,"Public Chain, Klaytn"
origin-protocol,Origin Protocol,OGN,BB,58.38,66.05%,52.07%,51.00%,78.67%,52.07%,50.33%,"NFT, Marketplace, Ethereum, DeFi, Governance"
golem,Golem,GLM,BB,58.35,84.95%,54.33%,28.45%,73.00%,46.47%,64.00%,"Cloud Computing, Mining, Polygon, Ethereum"
deso,Decentralized Social,DESO,BB,58.28,72.25%,36.60%,41.20%,83.33%,29.67%,87.67%,"Public Chain, Social"
sushiswap,SushiSwap,SUSHI,BB,58.19,74.75%,63.80%,56.10%,57.33%,20.00%,72.33%,"DEX, Ethereum, AMM, DeFi, Governance"
paxos-standard,Pax Dollar,USDP,BB,58.17,79.75%,51.73%,28.30%,94.67%,46.67%,50.67%,"Stablecoins, DeFi, Ethereum"
chiliz,Chiliz,CHZ,BB,58.14,70.05%,53.53%,38.10%,64.00%,47.20%,78.67%,"Sports, Payment, Ethereum"
metis-token,Metis,METIS,BB,58.01,48.60%,56.87%,38.20%,75.00%,67.80%,71.33%,"Metis, Layer 2, Public Chain"
ren,REN,REN,BB,57.98,74.35%,62.40%,30.00%,73.33%,45.67%,66.00%,"DeFi, Ethereum, Cross-Chain, Bitcoin"
gods-unchained,Gods Unchained,GODS,BB,57.85,57.75%,50.07%,22.60%,93.20%,53.93%,81.33%,"NFT, Game, Immutable X, Ethereum"
render-network,Render Network,RNDR,BB,57.75,67.00%,57.87%,27.45%,76.33%,47.67%,77.20%,"Ethereum, Traditional Industry, Infrastructure, Polygon"
osmosis,Osmosis,OSMO,BB,57.71,47.25%,46.80%,58.65%,70.00%,47.40%,79.33%,"DeFi, AMM, Cosmos, DEX, Governance"
evmos,Evmos,EVMOS,BB,57.49,80.85%,43.33%,38.55%,63.67%,69.40%,47.67%,"Ethereum, Cosmos, PoS, Layer 1, Evmos"
kyber-network-crystal,Kyber Network Crystal,KNC,BB,57.48,82.40%,63.93%,35.80%,68.00%,41.33%,52.33%,"DeFi, DEX, DAO, AMM, Governance"
ethereum-classic,Ethereum Classic,ETC,BB,57.41,51.60%,62.93%,25.70%,90.67%,57.73%,68.33%,"Fork, Ethereum, Layer 1, Public Chain"
lido-staked-sol,Lido Staked SOL,STSOL,BB,57.35,57.00%,28.53%,53.05%,84.00%,56.40%,66.67%,"Solana, Staking, DeFi, Liquid Staking Token"
illuvium,Illuvium,ILV,BB,57.31,64.25%,42.40%,40.70%,72.20%,49.00%,78.53%,"NFT, Game, Ethereum, Immutable X, Metaverse"
canto,Canto,CANTO,BB,57.3,66.60%,38.87%,50.00%,64.67%,61.00%,62.00%,"Layer 1, Cosmos, DeFi"
joe,Trader Joe,JOE,BB,57.14,84.15%,46.40%,48.85%,44.33%,55.53%,57.33%,"DEX, Lending, AMM, DeFi, Avalanche, Governance"
pocket-network,Pocket Network,POKT,BB,57.01,71.80%,34.60%,42.15%,70.67%,47.53%,75.33%,"Web3, Infrastructure, PoS"
oasis-network,Oasis Network,ROSE,BB,57.0,68.75%,49.27%,58.05%,54.67%,55.33%,51.67%,"Public Chain, Cosmos, Layer 1"
frax,Frax,FRAX,BB,56.93,80.20%,55.00%,47.10%,78.40%,19.73%,56.67%,"DeFi, Stablecoins, Ethereum, Optimism, Decentralized Stablecoins"
celestia,Celestia,TIA,BB,56.78,60.60%,42.60%,55.10%,60.67%,66.00%,55.00%,"Infrastructure, Public Chain, Layer 1"
decred,Decred,DCR,BB,56.73,74.80%,45.40%,21.40%,52.53%,75.00%,77.00%,"Public Chain, PoW, PoS"
singularitynet,SingularityNET,AGIX,BB,56.72,75.10%,44.93%,32.15%,77.00%,38.33%,74.87%,"Marketplace, Data, AI"
nest-protocol,Nest Protocol,NEST,BB,56.64,72.80%,38.60%,40.45%,37.00%,94.67%,56.33%,"Oracle, DeFi, Ethereum, BNB Chain, Polygon"
aragon,Aragon,ANT,BB,56.57,80.15%,49.13%,49.25%,42.67%,47.47%,65.33%,"DAO, Governance, Ethereum"
radiant-capital,Radiant Capital,RDNT,BB,56.54,51.80%,55.73%,48.40%,38.00%,79.93%,69.67%,"Arbitrum, DeFi, Lending"
liquity,Liquity,LQTY,BB,56.51,73.10%,50.40%,42.55%,66.73%,48.73%,56.67%,"Lending, DeFi, Ethereum, Governance"
litecoin,Litecoin,LTC,BB,56.48,67.95%,60.40%,15.50%,72.00%,77.53%,55.33%,"Fork, PoW, Bitcoin"
reserve-rights,Reserve Rights,RSR,BB,56.16,60.80%,62.33%,31.85%,75.33%,52.53%,60.67%,"DeFi, Ethereum, Governance"
liquity-usd,Liquity USD,LUSD,BB,56.13,78.05%,39.20%,40.80%,70.07%,50.80%,55.67%,"Ethereum, DeFi, Lending, Stablecoins, Optimism, Polygon"
project-galaxy,Galxe,GAL,BB,56.09,63.80%,46.53%,25.35%,76.00%,51.33%,81.20%,"Ethereum, Web3, BNB Chain, Infrastructure"
alchemy-pay,Alchemy Pay,ACH,BB,56.08,56.25%,53.47%,49.65%,61.67%,48.33%,69.20%,"Payment, DeFi, Ethereum, BNB Chain"
defichain,DeFiChain,DFI,BB,56.03,76.90%,44.73%,42.50%,44.33%,56.27%,69.00%,"DeFi, Public Chain, Wallet, Ethereum, Governance"
axelar,Axelar,AXL,BB,56.0,81.30%,53.00%,39.35%,68.00%,46.13%,45.33%,"Cross-Chain, Infrastructure, Base"
mdexmdx,MDEX (HECO),MDX,BB,55.97,76.40%,33.13%,39.60%,53.00%,71.67%,60.67%,"DEX, DeFi, AMM, Heco, Governance"
digibyte,DigiByte,DGB,BB,55.97,64.55%,56.27%,26.60%,58.00%,70.67%,66.67%,"Fork, Public Chain, Bitcoin, PoW"
mx-token,MX Token,MX,BB,55.97,79.25%,43.67%,41.20%,50.67%,42.20%,76.00%,Exchange Token
kadena,Kadena,KDA,BB,55.93,64.25%,42.00%,38.90%,94.67%,38.00%,60.67%,"Public Chain, Layer 1, PoW, Cosmos"
aleph-zero,Aleph Zero,AZERO,BB,55.88,64.70%,34.27%,41.00%,63.00%,64.67%,69.67%,"Layer 1, Privacy, DEX, Wallet"
sei-network,Sei Network,SEI,BB,55.84,53.20%,47.60%,47.30%,57.00%,68.00%,65.67%,"Layer 1, Cosmos, DeFi"
ecash,eCASH,XEC,BB,55.82,68.40%,53.53%,47.05%,46.00%,40.00%,78.67%,"Public Chain, Traditional Industry, Mining"
unus-sed-leo,UNUS SED LEO,LEO,BB,55.61,75.00%,43.07%,42.50%,77.00%,15.00%,79.00%,"Exchange Token, Ethereum"
conflux,Conflux,CFX,BB,55.58,69.00%,52.60%,35.95%,54.00%,61.13%,62.87%,"Public Chain, Conflux, Mining"
frax-ether,Frax Ether,frxETH,BB,55.51,69.80%,38.93%,43.10%,65.40%,49.87%,65.33%,"Ethereum, DeFi, Staking, Wrapped Token, Liquid Staking Token"
dodo,DODO,DODO,BB,55.43,65.25%,58.33%,30.40%,64.67%,49.33%,69.67%,"DEX, DeFi, Ethereum, AMM, Governance"
gemini-dollar,Gemini Dollar,GUSD,BB,55.42,65.20%,43.67%,46.45%,87.67%,45.93%,43.33%,"Stablecoins, Ethereum"
perpetual-protocol,Perpetual Protocol,PERP,BB,55.4,65.80%,54.73%,38.35%,48.33%,49.73%,77.67%,"DEX, Derivatives, DeFi, Ethereum, AMM, Governance"
uma,UMA,UMA,BB,55.3,84.35%,60.80%,43.90%,37.67%,44.87%,54.33%,"DeFi, Synthetics, Oracle, Options, Derivatives"
stride,Stride,STRD,BB,55.3,77.70%,26.53%,44.05%,47.67%,63.47%,68.67%,"Cosmos, PoS, Layer 1"
gains-network,Gains Network,GNS,BB,55.17,63.60%,43.33%,39.10%,35.33%,89.53%,62.67%,"Polygon, Derivatives, DeFi, DEX, Arbitrum"
mask-network,Mask Network,MASK,BB,55.1,82.45%,60.40%,49.10%,37.33%,42.87%,51.33%,"Privacy, Social, Web3, Ethereum"
waves,Waves,WAVES,BB,55.07,64.50%,63.27%,23.15%,49.00%,56.33%,81.67%,"Public Chain, Waves, Layer 1"
truefi,TrueFi,TRU,BB,55.0,71.50%,53.60%,32.45%,64.33%,44.80%,65.33%,"Lending, DeFi, Ethereum"
aavegotchi,Aavegotchi,GHST,BB,54.95,76.65%,46.00%,45.65%,52.67%,34.27%,70.33%,"Ethereum, Game, NFT, Polygon"
kaspa,Kaspa,KAS,BB,54.89,54.15%,55.13%,38.70%,59.67%,65.67%,61.67%,"PoW, Public Chain"
covalent,Covalent,CQT,BB,54.74,67.95%,34.47%,48.95%,64.00%,47.27%,63.33%,"Ethereum, DeFi, Data, Polkadot"
flare,Flare Network,FLR,BB,54.71,56.40%,43.87%,39.95%,64.67%,71.73%,56.00%,"Public Chain, Cross-Chain, Layer 1"
telcoin,Telcoin,TEL,BB,54.66,57.25%,35.27%,39.35%,62.33%,63.33%,74.67%,"Payment, Public Chain"
status,Status,SNT,BB,54.59,81.35%,45.67%,41.35%,66.00%,53.33%,35.33%,"Web3, Privacy, Ethereum, Wallet"
biconomy,Biconomy,BICO,BB,54.49,77.10%,45.73%,38.95%,60.67%,49.60%,52.53%,"Infrastructure, Ethereum, Web3"
fasttoken,Fasttoken,FTN,BB,54.41,43.00%,57.13%,44.80%,45.33%,64.87%,78.33%,"Ethereum, Public Chain, NFT, Web3"
gitcoin,Gitcoin,GTC,BB,54.37,85.75%,49.67%,33.55%,69.40%,44.33%,40.00%,"Web3, Infrastructure, DAO, Tools, Ethereum"
energy-web-token,Energy Web Token,EWT,BB,54.34,59.50%,43.13%,54.80%,70.20%,40.87%,55.67%,"Polkadot, Traditional Industry, Public Chain"
bitget-token,Bitget Token,BGB,BB,54.29,65.55%,40.40%,51.65%,47.67%,45.60%,72.00%,"Ethereum, Exchange Token"
syscoin,Syscoin,SYS,BB,54.25,64.50%,42.27%,47.05%,47.33%,59.00%,64.33%,"Public Chain, PoW, Rollups"
